,Tytuł,Kliknięcia linku
2912,"To dzieło Mickiewicza czy piosenka disco polo? Myślisz, że odróżnisz? ",4109
2913,Te słowa mają wiele znaczeń. Potrafisz wskazać niepoprawne? Wykładacie się na 6. pytaniu,2311
2914,To najsłynniejsze polskie piosenki lat 80. Ale czy poznasz je po fragmencie tekstu?,9658
2915,"Czas trochę pomyśleć. Dostaniesz 3 słowa, musisz wydedukować, o kogo pytamy",28686
2916,"Quiz wiedzy ogólnej dla bystrych umysłów. Średnia zawstydza, to niestety tylko 9/15",3342
2917,"To quiz, w którym możesz się popisać, bo przepytujemy z wielu dziedzin. Dasz radę? ",2598
2918,Każdy wykształcony człowiek powinien znać te zwroty. A jak jest z tym u ciebie?,6154
2919,Z wypiekami na twarzy oglądałeś te bajki w dzieciństwie. Pamiętasz jeszcze te kultowe powiedzonka?,4012
2920,"Uważasz, że dobrze pamiętasz wydarzenia z ''Nocy i dni''? To spróbuj zdobyć komplet punktów ",12307
2921,"""Któż zabija za dzbanek malin siostrę?"" To cytat z ""Balladyny"", ""Chłopów"" czy ""Antygony""? ",2418
2922,"Sprawdź, ile wiesz o polskich serialach. Komplet zdobywają tylko nieliczni",8682
2923,"Jeśli uzyskasz 11/11, najpewniej jesteś kucharzem. Wielu wykłada się już w 2. pytaniu",16742
2924,"Potrafisz rozwinąć skrót PKP? Masz pierwszy punkt, z resztą pytań będzie znacznie trudniej",7166
2925,"Te programy na pewno pamiętasz. A piosenki, które z nich pochodzą?",3065
2926,Dużo podróżujesz? To na pewno uda ci się dopasować atrakcję turystyczną do miasa,1901
2927,Jak jest poprawnie szyi czy szyji? Poradzisz sobie z odmianą lepiej niż uczniowie? ,5605
2928,"Myślisz, że dogadałbyś się z góralem? Najwięcej problemu wszystkim sprawia drugie pytanie ",2184
2929,"Nasi przodkowie mieli wyobraźnię. Wiesz, do czego miały służyć te przedmioty?",8529
2930,"Quiz - Ortografia, przecinki, odmiana... To dyktando naprawdę nie jest łatwe. Zdobywacie średnio 13/17",2392
2931,"To były czarne charaktery naszego dzieciństwa. Sprawdź, ile z nich jeszcze rozpoznasz",57882
2932,"Jeśli nigdy nie robiłeś z babcią domowych przetworów, nie masz w tym quizie szans",3459
2933,Ten quiz na zawsze oddzieli znawców kuchni od amatorów. Do której grupy należysz? ,2684
2934,"Znasz Polskę na wylot? Ciekawe, czy rozpoznasz polskie miasto po kościele ",2744
2935,"Te krótkie pytania przetestują, czy  potrafisz myśleć. Sprawdź, czy uda ci się je rozwiązać ",15295
2936,"To najtrudniejszy quiz o truskawkach, jaki kiedykolwiek zrobisz. Sprawdź, co o nich wiesz",1103
2937,"Myślisz, że biegle posługujesz się językiem polskim? Sprawdź swoje słownictwo. Średnia 8/11",4255
2938,"Jeśli nie chodzisz do kościoła, może być ciężko zdobyć komplet. Znasz pieśni religijne?",20870
2939,"Szkolna powtórka. 8 przedmiotów, 8 pytań. Zmierz się z koszmarami z dzieciństwa!",34897
2940,Redakcja podniosła poprzeczkę. Poradzicie sobie? Trudno będzie przebić 8/12 ,2640
2941,Pamiętasz cokolwiek z dzieciństwa? Te 10 pytań to sprawdzi!,5286
2942,"12 teleturniejów, które każdy powinien znać, a średnio mylicie się aż trzy razy!",7040
2943,"Jeśli nie słuchałeś muzyki w PRL-u, to nie rozwiążesz tego quizu. Nie masz szans",8717
2944,"12 kobiet z historii Polski, które zna każda wykształcona osoba. Należysz do nich?",9104
2945,"Te piosenki Krzysztofa Krawczyka już nie będą brzmieć tak samo. Sprawdź, czy pamiętasz ich teksty",2837
2946,"Jak tam twój angielski? Możesz sprawdzić swój poziom, ale ostrzegamy - łatwo nie będzie",4999
2947,Słynne cytaty z książek. Oczytani je rozpoznają. Podniesiesz średnią 7/12?,5262
2948,"Upadła madonna z wielkim cycem to dzieło...? Jeżeli nie oglądałeś ""Allo Allo"" w tym quizie nie masz szans!",3402
2949,Perski czy sfinks? Czy rozpoznasz rasę kota na zdjęciu? ,974
2950,"Te 11 włoskich słów słyszał każdy Polak, ale czy na pewno wiesz co znaczą? ",2928
2951,"Myślisz, że biegle posługujesz się językiem polskim? Sprawdź swoje słownictwo. Średnia 8/11",1963
2952,"Tylko jeśli naprawdę kochasz jeść, będziesz mieć z tego quizu 13/13. Reszta może pomarzyć",13198
2953,"Wystarczy 60 proc., by dostać czeskie obywatelstwo. Sprawdź się w teście",16315
2954,"Dużo podróżujesz? Sprawdź, czy bez problemów poradzisz sobie na lotnisku",1121
2955,"Copiątkowy quiz wiedzy. Jeśli chcesz zdobyć 10/10, to uważaj na siódme pytanie ",15387
2956,"Ekstremalny quiz wiedzy. Nie dajcie się złapać, są podchwytliwe pytania",18151
2957,To największe polskie hity początku XXI wieku. Pamiętasz je jeszcze? ,3362
2958,"Myślisz, że jesteś dobrym kierowcą? To kto tu ma pierwszeństwo? ",1702
2959,To jedzenie czy zwierzę. Odgadniesz po samej nazwie? ,2502
2960,"Trzech bohaterów, jedna lektura. Proste? Jak zdobędziesz maksa, to możesz nazwać się mistrzem",6625
2961,"Te piosenki zna każdy, ale przy 5. i 12. macie ogromne problemy",8878
2962,"Tadeusz Sznuk ułożył dla Was quiz. Niestety poziom wielu przerasta, średnia tylko 4/10",7322
2963,Znasz przysłowie na kążdą okazję? Na pewno? Pozwól nam to przetestować,16895
2964,"Jeżeli nie byliście nigdy na wakacjach nad Bałtykiem, to nie rozwiążecie tego quizu!",5521
2965,Byłeś prymusem czy spałeś na lekcjach z gramatyki? Sprawdź się w quizie,2033
2966,"Wiesz, czym są afrodyzjaki? To już pierwszy krok do rozwiązania tego quizu",8740
2967,"Masz trochę wiedzy o świecie? Jeśli tak, pewnie będziesz znać te tradycyjne słodycze",1853
2968,Według przysłowia nie ma róży bez...? Średnia w tym quizie to zaledwie 10/15,5057
2969,"Połowa z Was nie wie, czym jest szyfoniera. Udowodnij, że znasz nazwy mebli",11707
2970,"Na podwórku trzeba było znać te rymowanki. Myślisz, że jeszcze je pamiętasz?",7608
2971,"Quiz - Sprawdź, czy przetrwasz w średniowieczu. Tu potrzebna jest wiedza i spryt! ",1054
2972,"Pani Walewska, Dąbrowska czy Kownacka? Jak nazywały się kultowe perfumy PRL-u? ",2812
2973,"My podajemy trzy słowa, Ty odgadujesz hasło. Jedna kategoria - PRL. Poradzisz sobie?",5066
2974,Jesteś mądrzejszy od 4-klasisty? To sprawdź się w quizie!,16498
2975,"Jak dobrze pamiętasz pierwszą dekadę XXI w.? Sprawdź, czy podniesiesz średnią 7/12",6598
2976,"Teraz możesz sprawdzić, czy umiesz gotować. Przetestuje Cię sam mistrz kuchni",3833
2977,Według przysłowia złość szkodzi: a) piękności; b) miłości; c) młodości?,2482
2978,"Musisz wykazać się wszechstronną wiedzą, aby zdobyć komplet punktów. Dasz radę?",1860
2979,Postać kobiety z rybim ogonem jest symbolem: a) Płocka; b) Warszawy; c) Łodzi?,2235
2980,"Myślisz, że umiesz oszczędzać? Pozwól, że to sprawdzimy",3697
2981,"Juniorki, ortalion i dekatyzy. Co wiesz o modzie z czasów PRL-u?",4148
2982,Jedna z tych trzech postaci fikcyjnych nie pasuje do pozostałych - wiesz która?,20951
2983,Z którego kraju pochodzą te zespoły i muzycy? Wiesz?,2453
2984,"Szybka powtórka z historii Polski. Odpowiesz, co wydarzyło się wcześniej?",1218
2985,To nazwa drinka czy koloru farby? Najlepiej poradzą sobie bywalcy barów,2059
2986,Co tak właściwie wiesz o jabłkach? Przed Tobą najtrudniejszy quiz o tych owocach,10036
2987,To ssak czy ptak? A może gad? To miał być łatwy quiz o zwierzętach,2780
2988,Zdałbyś test na kanadyjskie obywatelstwo? Aż 70 proc. z Was odpada w 6. pytaniu,2117
2989,"Quiz kulinarny. Wszyscy je jemy, ale i tak nam się mylą. Pokonasz średnią 7/13?",3235
2990,To oni zagrali największych twardzieli złotej ery Hollywood. Rozpoznasz aktorów na zdjęciu?,2345
2991,Biel. Quiz wiedzy ogólnej. Pochwalisz się kompletem punktów?,1757
2992,Czy te europejskie państwa ze sobą graniczą? Quiz dla orłów z geografii,1704
2993,"Proste zadanie, a wyniki marne. Rozpoznasz alkohol po obrysie jego butelki?",2175
2994,Rozbudziliście się już? Czas na Copiątkowy quiz wiedzy. Średnia to tylko 6/10,2843
2995,W tym ekstremalnie trudnym quizie komplet punktów zasługuje na szczególne uznanie,2347
2996,"14 francuskich słów, które na pewno słyszeliście. Wiecie, co oznaczają?",5316
2997,Uważasz się za smakosza polskiej kuchni? Aż 85 proc. z Was myli się w ostatnim pytaniu,5367
2998,Matematyka to dla Ciebie pestka? To się jeszcze okaże... Pochwalisz się kompletem?,2238
2999,"To quiz tylko dla wybranych. Musisz się znać i na historii, i na filmach! Średnia 14/18",2542
3000,Gdzie znajduje się ten region? Bardzo łatwo o pomyłkę. Wasza średnia to 9/13,1082
3001,"Tego uczyliśmy się na fizyce w szkole. Sprawdź, czy coś jeszcze pamiętasz",2421
3002,Chyba tylko nauczyciel historii zdobędzie komplet punktów. Laicy są bez szans,7714
3003,Co jest szybsze: słoń czy mały fiat jadący na wstecznym? Potrafisz odgadnąć?,944
3004,"Wychodzi na to, że nie czytaliście szkolnych lektur. Niektórzy zdobywają 0 punktów!",33055
3005,"Inwokacje każdy zna, ale czy rozumie? Wiesz, co oznaczają słowa z ""Pana Tadeusza""?",14159
3006,"Quiz - To pestka nawet dla dzieci z podstawówki. A Ty, poradzisz sobie z ortografią? [QUIZ] - Gazeta.pl I Dziecko",4441
3007,"Myślisz, że połączysz firmę z jej maskotką? Nie będzie tak łatwo",6994
3008,"15 pytań z historii świata, na które wypada znać odpowiedź każdej wykształconej osobie",1943
3009,Nie byliście nigdy w przychodni? W takim razie nie rozwiążecie tego quizu,12631
3010,"Wydaje się oczywiste, ale czy na pewno wiesz, do kogo należą te terytoria? ",1425
3011,To quiz dla prawdziwych omnibusów. Już 3. pytanie jest poza Waszym zasięgiem,1428
3012,"Trzy słowa, jedna kategoria: osoba. Odgadniesz wszystkie?",3221
3013,"Te słowa mają wiele znaczeń. A czy wiesz, czego na pewno NIE oznaczają?",1775
3014,"Quiz dla spostrzegawczych. Sprawdź, czy zwracasz uwagę na szczegóły!",3767
3015,To cytat z Sienkiewicza czy z 'Gry o tron'? To quiz dla oczytanych!,722
3016,"Perfumy czy perfuma, wskutek i na pewno. Te błędy łatwo popełnić. Rozpoznasz je?",758
3017,Szacun? Wykształcony człowiek tak się nie wyrazi. Co zamiast tego powie?,10940
3018,"Każdy je zjada, ale czy na pewno rozróżnia? Sprawdź, czy rozpoznajesz pieczywo!",4312
3019,Oto pierwszy quiz szkolny w roku 2023. Wynik poniżej 7/10 nie wchodzi w grę!,13236
3020,"Znasz grę ""państwa-miasta""? To w tym quizie geograficznym masz szansę na komplet!",1430
3021,"Pamiętacie jeszcze ""Matki, żony i kochanki""? Czas to sprawdzić!",891
3022,Czy rozpoznasz jaka to piosenka po dwóch wersach? 10/10 tylko dla melomanów!,59166
3023,Quiz - Kto napisał hymn Polski? Kto jest autorem Balladyny? Quiz z lektur - Gazeta.pl I Dziecko,4000
3024,"To szybki quiz wiedzy ogólnej. Czeka Cię komplet albo porażka, dasz radę?",2621
3025,"Te osoby na pewno znasz (a przynajmniej powinieneś), ale czy wiesz dlaczego?",8934
3026,"Ryba po grecku, bigos i spaghetti. Na pewno wiecie skąd pochodzą?",12174
3027,Czy rozpoznasz polską komedię po jednym kadrze? 10/10 tylko dla kinomaniaków!,37020
3028,"Myślisz, że znasz te elementy garderoby? Możesz się zdziwić!",7778
3029,W dzisiejszym akademickim 3/5 to już dobry wynik! Miłośnicy matematyki mają fory!,4214
3030,"Ten quiz sprawdzi, co wiesz o papieżach. Zdobędziesz chociaż 7 punktów?",1000
3031,"To ekstremalne dyktando ostatecznie rozstrzygnie, czy potrafisz pisać po polsku",1983
3032,Trzydzieści lat minęło. Sprawdź swoją wiedzę historyczną o roku 1989,685
3033,"Myślisz, że znasz Polskę na wylot? Pozwól, że my to ocenimy. Dasz radę?",1523
3034,"To quiz wiedzy ogólnej o dniu. Myślicie, że wiecie o nim wszystko?",2708
3035,"Oscary, Mundial i Królowa Elżbieta II. Ile pamiętacie z 2022 roku? Sprawdźcie!",436
3036,"Uważasz się za dobrego kierowcę? Quiz sprawdzi, czy zasługujesz na prawo jazdy!",29500
3037,"Jak bardzo ""Noce i dnie"" zapadły wam w pamięć? Sprawdzimy to w tym quizie! ",1323
3038,W tym quizie fory mają urodzeni w PRL-u. Rozpoznasz logo dawnych firm?,44390
3039,"Wydaje się jakby to było niedawno, a to już 10 lat! Jak dobrze pamiętasz rok 2013?",3497
3040,W tym cośrodowym przyda się dobra pamięć i zdolność kojarzenia faktów. Dasz radę?,1278
3041,"Sądzisz, że znasz się na walutach? No to spróbuj zdobyć w tym quizie 10/10",3081
3042,Znane i lubiane reklamy. Znasz je wszystkie?,1445
3043,"Bitwy o makaron, maseczki i izolacja. Ile wiesz o COVID-19?",387
3044,"Slang młodzieżowy - sprawdź, czy go zrozumiesz. Przed tobą słownik młodzieżowy",30825
3045,"Oglądaliście ""Ghostbusters""? Założymy się, że i tak nie zdobędziecie kompletu",547
3046,Te piosenki nucili wszyscy. Pamiętasz wielkie przeboje polskich wokalistek?,5729
3047,"Warszawa, Buenos Aires i Paryż! W tym quizie sprawdzamy znajomość stolic świata!",6681
3048,Te programy rozrywkowe oglądała cała Polska. Rozpoznasz ich tytuły?,3356
3049,Czy uda Ci się rozpoznać rybę słodkowodną na zdjęciu? To quiz dla bystrzaków!,2020
3050,"Polska język, trudna język. To najnowszy polonistyczny!",21197
3051,"15 faktów o ludzkim ciele, które po prostu trzeba znać. Jak dobrze znacie swoje ciało?",6641
3052,Wiesz wszystko o jedzeniu? To w tym quizie musisz mieć komplet punktów,4407
3053,"Oto 10 atrakcji turystycznych, o których słyszał każdy Polak. Co o nich wiesz?",2251
3054,"Im jesteś starszy, tym większe masz szanse w tym quizie o smakołykach",51893
3055,Pamiętasz jeszcze jakieś piosenki dla dzieci? Spróbuj dokończyć ich słowa!,6708
3056,"Sprawdź, czy przetrwasz w średniowieczu. Tu potrzebna jest wiedza i spryt!",1192
3057,"Ciekawe, czy rozpoznasz polskich władców na tych obrazach. Quiz dla historyków!",6483
3058,Na pewno umiesz zaśpiewać ''Sto lat''? A jak tam twoja wiedza ogólna na temat tej liczby?,679
3059,Czas na pierwszy copiątkowy quiz wiedzy w tym roku! Wynik 10/10 poza zasięgiem!,22132
3060,"Wercyngetoryks to postać autentyczna czy wymyślona? Sprawdź, czy nie dasz się zwieść",849
3061,Dzisiejszy ekstremalny da Wam popalić. Wyniki od 7/12 tylko dla wszechwiedzących!,29845
3062,Kochasz filmy? A rozpoznasz ich tytuły po emoji?,1568
3063,"Zapisujesz te litery kredą na drzwiach, ale czy wiesz, co znaczą? Przekonaj się!",1009
3064,"Pegazy, Syreny i Trolle. Znacie te mityczne stworzenia? To quiz idealny dla was!",714
3065,"Pisarki, królowe, artystki - sprawdź, co wiesz o słynnych kobietach noszących imię Zofia",3094
3066,"My podajemy 3 wskazówki, a Ty zgadujesz, o który serial Netflixa chodzi. Proste?",372
3067,"15 błędów, które zdarzają się nawet najlepszym humanistom. Sprawdź, czy ty także je popełniasz!",11322
3068,Dziś burza hormonów! Sprawdźcie się w tym szybkim quizie,1330
3069,"Willa Śmiesznotka i ulica Ćwiartki 3/4. Pamiętasz, gdzie mieszkają fikcyjne postacie?",426
3070,"""Żadnej pracy się nie boję"" - czyli quiz o zawodach. Wiesz, czym zajmują się te osoby?",1251
3071,Ten szybki quiz sprawdzi waszą wiedzę o zimowych powiedzonkach. Gotowi?,45886
3072,"Na pewno znasz te filmy biograficzne, ale czy pamiętasz, kto w nich zagrał? Komplet tylko dla ambitnych",368
3073,''Na plasterki!'' Czy rozpoznasz słynne powiedzonka fikcyjnych postaci?,735
3074,"''Nie ma bardziej szczerej miłości niż miłość do jedzenia''. Sprawdź, czy poradzisz sobie z przysłowiami o jedzeniu.",939
3075,"Wiesz, co oznaczają te skróty? Niektóre wcale nie są takie łatwe!",457
3076,"Wiesz, jak zastąpić słowa, żeby nie zmienić znaczenia zdania? Sprawdź się!",4892
3077,"Jesteś prawdziwym fanem filmów Juliusza Machulskiego? Pozwól, że my to sprawdzimy",2270
3078,Efektywny czy efektowny? Znasz różnicę między tymi słowami?,761
3079,Jeśli śledzisz media 5/5 w tym quizie to obowiązek! Pytamy o same gorące newsy!,499
3080,Dzisiaj w quizie wiedzy ogólnej bierzemy na tapetę pomarańczowy. Powodzenia!,571
3081,"Twierdzisz, że masz dobrą pamięć? Przekonasz się, jeśli rozwiążesz ten quiz",1128
3082,Tylko najlepiej zorientowani zdobędą w kalendarzowym wszystkie 7 punktów. Gotowi?,10161
3083,Jak dobrze znasz słowa polskich złotych przebojów? Dokończysz te wersy?,3761
3084,Rozpoznasz na mapie te 12 polskich miast? Przekonaj się!,3343
3085,"Wiesz jak to wygląda, ale czy pamiętasz szczegóły? W tym quizie sprawdzamy spostrzegawczość",1099
3086,Czy uda ci się rozpoznać owoce po obrysie? Nie daj się zmylić,3612
3087,Rozpoznasz te czarne charaktery po typowym dla nich powiedzeniu? Sprawdź!,5994
3088,Te europejskie miasta powinien każdy znać. Rozpoznasz je po ich symbolach?,1848
3089,"Trzy słowa, kategoria: film animowany. Rozpoznasz, o jaki tytuł pytamy?",20625
3090,"Nowy szkolny rozstrzygnie, kto uważał na lekcjach. Zdobędziesz chociaż 7/10?",28960
3091,"Zgadniesz, o który serial HBO pytamy, mając tylko 3 wskazówki?",216
3092,"Tylko chcemy się upewnić, że wiecie, jak stopniuje się przymiotniki. To chyba nie takie trudne?",3578
3093,"Myślicie, że wiecie wszystko o Anglii? Ten quiz to zweryfikuje!",1063
3094,"PESEL, NIP, BHP. Na pewno je znasz, ale czy wiesz, jak rozwinąć te skróty?",17208
3095,"Myślisz, że znasz flagi świata? Ciekawe, czy rozpoznasz je tylko po opisie!",2074
3096,W dzisiejszym quizie wiedzy ogólnej czas na wypoczynek. Powodzenia!,5072
3097,Nie chodziłeś do szkoły w PRL-u? To nie masz szans rozwiązać tego quizu,1006
3098,Te piosenki huczały w PRL-u i omijały cenzurę. Rozpoznasz je po jednym wersie?,31670
3099,"Ta fryzura, ta gitara, ten... Elvis Presley! Wiecie o nim wszystko?",818
3100,"Pamiętasz, co się zdarzyło w roku 2019? Sprawdź swoją pamięć",887
3101,Czas na 5 ekstremalnie trudnych pytań. Nowy akademicki da Ci popalić!,749
3102,"Ten quiz ostatecznie stwierdzi, czy potrafisz logicznie myśleć. Poradzisz sobie?",1007
3103,"My podajemy 3 postacie, Wy wskazujecie, która nie pasuje. Jasne? To powodzenia!",2229
3104,"Znacie język czeski? Choć podobny do naszego, to nieraz może zmylić. Powodzenia!",783
3105,"Trzy słowa wystarczą, abyś odgadł, o którą stolicę europejską pytamy? Do pobicia średnia 6/10",1091
3106,"Trudny quiz z ""Lalki"". Sprawdź, czy pamiętasz lekturę! Średnia to tylko 8/12",1161
3107,"Wiesz, co oznacza litera P w skrócie PKS? Pokaż, jak dobrze znasz skrótowce",5131
3108,"Pytamy tylko o polskie drzewa, ale ten quiz sprawi Ci więcej problemów, niż myślisz",3305
3109,"Jeździłeś pociągami w PRL-u? To na pewno pamiętasz, czym był ""kibel""! Sprawdź się!",29791
3110,"Lubisz patrzeć w gwiazdy? Jeśli tak, to quiz dla Ciebie. Pytamy o astronomię!",540
3111,W cośrodowym komplet punktów zdobędą wyłącznie erudyci. Zaliczasz się do nich?,1484
3112,"Wiecie, co oznaczają te wszystkie trudne słowa? Komplet tylko dla erudytów!",965
3113,Pamiętacie jeszcze coś z lekcji fizyki? Ten szybki quiz to zweryfikuje!,438
3114,Które z tych zwierząt występują w Polsce? Pytanie o łasicowate jest najtrudniejsze,817
3115,"W tym quizie muszą Ci pomóc dzieci lub wnuki. Pytamy o ""Psi patrol""!",366
3116,"Rozpoznasz te polskie miasta tylko po planie? Okazało się, że najwięcej problemów sprawia Łódź",592
3117,Gotowi na powtórkę z biologii? W tym quizie 10/10 zdobędą tylko nieliczni!,2639
3118,W tym quizie przyda się wiedza geograficzna. Pytamy o jeziora świata!,629
3119,"Pytamy o znane filmy, ale podpowiedzią jest to, co w nich jedzono. Dasz radę?",393
3120,"Przygotowaliśmy podchwytliwe pytania, a Wy dajecie się złapać. Bądź czujny i pobij średnią 4/11",4003
3121,"Halo, czas na powtórkę z polskiego! Wykażecie się w tym quizie polonistycznym?",949
3122,"Ten quiz ułożyła z nami studentka z Ameryki. Zobacz, czy dasz radę zdobyć 10/10!",916
3123,Czy potrafisz dopasować Stary Rynek do miasta? Ten quiz wymaga wiedzy o Polsce!,4038
3124,"To nie jest trudny quiz, ale łatwo o pomyłki. Uważajcie na pułapki!",1716
3125,"Oglądaliście ""Na noże""? To się doskonale składa!",150
3126,Znasz województwa i mapę Polski? To w tym quizie na pewno sobie poradzisz,2256
3127,"Mickiewicz czy Słowacki - rozpoznasz, który z nich napisał te słowa?",823
3128,"Życie i twórczość Emiliana Kamińskiego. Sprawdź, co o nim wiesz!",791
3129,"Trzy słowa, jedna kategoria: miasto. Rozpoznasz wszystkie?",2428
3130,Pytamy o polskie komedie. Rozpoznasz je po kadrze?,4052
3131,W dzisiejszym copiątkowym o komplet niełatwo! Sprawdzisz się przed weekendem?,10528
3132,Czas na pierwszy quiz kalendarzowy w 2023 roku! Uda Ci się zdobyć 7/7?,889
3133,"Ten serial był hitem lat 90. Sprawdź, czy pamiętasz jeszcze ""Zbuntowanego anioła""",3952
3134,"Starsza córka Kasi Figury ma na imię: a) Cleo, b) Kaszmir, c) Koko. Wiesz, masz już punkt",4918
3135,"Trzy skojarzenia, jedna kategoria: muzyka. Poradzisz sobie? ",7117
3136,Rozpoznasz gwiazdy na zdjęciach z dzieciństwa? Ostrzegamy! Nie będzie łatwo,38761
3137,Masz pamięć do dat? To w tym quizie musisz mieć komplet punktów ,1292
3138,"Dobrze pamiętasz polskie seriale? Sprawdź, czy rozpoznasz je po kadrze",6101
3139,"Wiesz, na które auto mówiono trapez? Jeśli nie, to raczej nie masz szans na komplet",36857
3140,Tęskniliście za śniegiem? Mamy dla was biały quiz wiedzy ogólnej. Do pobicia 7/15,25508
3141,"Podchwytliwe! Sprawdź, czy znasz stolice państw ",18694
3142,Pamiętasz Gustlika? Rozpoznaj na zdjęciach aktorów z PRL-u,9896
3143,Tylko naprawdę oczytane osoby mają szansę na komplet w tym quizie,14790
3144,"Planetą położoną najbliżej Słońca jest: a) Merkury, b) Wenus, c) Mars. Wiesz? Masz już punkt",830
3145,Tylko prawdziwy poliglota ma szansę na komplet punktów w tym quizie,4527
3146,"Czy ta roślina rośnie w Polsce? Prosty quiz, ale nie każdy zdobędzie w nim komplet punktów",3831
3147,"Te wzory powinien znać każdy, kto chodził do szkoły. Poradzisz sobie? Średnia 7/11",2599
3148,"Pamiętasz te sceny z filmów? Pytamy o kultowe cytaty, a wasza średnia to tylko 4/8",2533
3149,Prawda czy fałsz? Odpowiedz na pytania o władców Polski. Quiz dla mocnych z historii,1492
3150,"Licho, leszy, południca. Wiesz, co straszyło naszych słowiańskich przodków? Sprawdź się! ",5122
3151,Quiz geograficzny dla bystrzaków. Rozpoznasz te europejskie państwa? Pobij 6/11,14490
3152,Czy te państwa naprawdę istnieją? Sprawdź się w nietypowym quizie z geografii ,2926
3153,"Jeśli nigdy nie bawiłeś się na podwórku, nie rozwiążesz tego quizu. Dasz radę? ",2857
3154,Pamiętasz najpopularniejsze polskie seriale z lat 90.? Sprawdź się w quizie! ,5475
3155,"Myślisz, że dobrze znasz historię? Przekonajmy się ",1488
3156,"Niby wszyscy znają się na kotach, ale wasza średnia to tylko 8/15. Halo?",1731
3157,"Tę książkę na pewno znacie z dzieciństwa, ale komplet punktów raczej poza zasięgiem",1039
3158,"Nazwy miesięcy. Wydaje ci się, że wiesz, skąd pochodzą? To wcale nie jest banalne",2235
3159,"Wiesz, jak zachować się na pokładzie samolotu? To wcale nie jest łatwy quiz",2397
3160,"Wiesz, czym są lenonki? A szarawary? Sprawdź, czy umiesz nazwać wszystkie części garderoby",5995
3161,"My dajemy ci 3 słowa, ty zgadujesz, o który sławny film pytamy. Podejmiesz wyzwanie?",4541
3162,"Książki z dzieciństwa. Ten quiz sprawdzi zarówno twoją wiedzę, jak i wytrwałość. Odważysz się?  ",2102
3163,"Jeśli w szkole nie lubiłeś dyktand, nawet nie próbuj rozwiązać tego quizu  ",20060
3164,"Myślisz, że wiesz, jak wyglądają zwierzęta? Na 2. pytaniu wymięka 60 proc. z was ",48328
3165,Czy dogadasz się z naszymi sąsiadami? Sprawdź to w teście językowym ,2461
3166,Quiz wiedzy ogólnej. Kategoria: drzewa. W tym quizie rozróżnianie sosny od świerku to za mało,1394
3167,"Jeśli słuchałeś na lekcjach historii, to ten quiz nie powinien sprawić ci problemów",1500
3168,Prosty quiz geograficzny. Pytamy tylko o wyspy. 10 punktów to obowiązek,1916
3169,Czy te osoby mogły się kiedykolwiek spotkać? W tym quizie trzeba mieć wiedzę i dobrze kojarzyć ,1254
3170,"My podajemy miejsce, wy zgadujecie, gdzie się znajduje. 8. pytanie zdecydowanie najtrudniejsze",3367
3171,Czas na cośrodowe wyzwanie. Dziś jest trudno już od pierwszego pytania. Dacie radę? ,1818
3172,"Wojny, bitwy, potyczki. Pamiętasz jeszcze te konflikty z historii? ",997
3173,"Pytamy tylko o herbatę, a wasza średnia to tylko 10/15. Co z Wami?",1329
3174,"Sprawdź, czy rozpoznasz Polskę z kosmosu. Spróbuj pobić średnią 8/13",1668
3175,Lubisz się bać? Ten quiz jest dla ciebie. Już 3. pytanie będzie wyzwaniem  ,2324
3176,"Twoja babcia miałaby w tym quizie komplet punktów, a jak pójdzie tobie? ",9651
3177,"To quiz o śnie, ale nie prześpij go. Średnia 10/15. Przebijesz ten rezultat? ",2912
3178,"Podajemy tytuły trzech filmów, a ty zgadujesz aktora, który je łączy. Średnia 11/15",3054
3179,"Sprawdź, czy pamiętasz cokolwiek z greckiej mitologii. 5. pytanie najtrudniejsze ",1201
3180,Znasz dobrze geografię świata? W tym quizie poradzą sobie tylko mistrzowie,1150
3181,"Podajemy trzy tytuły, ty dopasowujesz autora. Proste? Tak się tylko wydaje",3078
3182,"Wszyscy znają Kubusia Puchatka, ale chyba nie aż tak dobrze, jak się wydaje. Do pobicia 9/15",396
3183,"Kojarzysz te osoby? A wiesz, z czego są znane? Niektórzy z was w tym quizie zdobywają 0 punktów",32249
3184,"Quiz wiedzy ogólnej, tutaj trzeba wykazać się wiedzą z wielu dziedzin ",3233
3185,"My podajemy tytuł piosenki, a ty wskaż zespół, o który nam chodzi. Dasz radę?  ",5147
3186,Jesteś miłośnikiem kotów? Ten quiz powstał specjalnie dla ciebie. Średnia 13/20,825
3187,"Tu przyda się szeroka wiedza. Poddasz się, czy odpowiesz na wszystkie pytania?",2618
3188,Tylko tęgie umysły poradzą sobie w tym quizie. 6/12 to już powód do dumy,43523
3189,Znasz historię Polski? Spróbuj pobić średnią 7/12 ,9886
3190,"Prawie połowa z was robi błąd już w drugim pytaniu. Udowodnij, że dobrze znasz historię ",3118
3191,Doskonale znasz mapę Europy? Sprawdź swoją wiedzę w quizie dla ambitnych,1116
3192,Żyłeś w czasach PRL? To bez trudu rozpoznasz te symbole,4799
3193,"Odgadniesz po obrysie co to za liść? Niby proste, ale komplet punktów zdobędą tylko znawcy ",6425
3194,Rozpoznasz po zdjęciu co to za zioło czy dasz się zmylić? Tu się liczy tylko komplet punktów,2778
3195,Jeździłeś na wakacje w latach 90.? Masz większe szanse na dobry wynik w tym quizie,1577
